Pomiar,LiczbaElementow,Czas
0,10,0.000002
1,10,0.000001
2,10,0.000000
3,10,0.000000
4,10,0.000001
5,10,0.000001
6,10,0.000000
7,10,0.000001
8,10,0.000000
9,10,0.000001
0,1000,0.002237
1,1000,0.002180
2,1000,0.002207
3,1000,0.002199
4,1000,0.002303
5,1000,0.002258
6,1000,0.002299
7,1000,0.002297
8,1000,0.002288
9,1000,0.002256
0,10000,0.236534
1,10000,0.235295
2,10000,0.235166
3,10000,0.235753
4,10000,0.235210
5,10000,0.235267
6,10000,0.235556
7,10000,0.235662
8,10000,0.235481
9,10000,0.236908
0,100000,25.499919
1,100000,24.208321
2,100000,24.168372
3,100000,24.338582
4,100000,24.158991
5,100000,24.144580
6,100000,24.143936
7,100000,24.230545
8,100000,24.148908
9,100000,24.122391
0,1000000,2782.556236
1,1000000,2420.638469
2,1000000,2423.116414
3,1000000,2423.208450
4,1000000,2424.841385
5,1000000,2422.749484
6,1000000,2426.811679
7,1000000,2423.335427
8,1000000,2423.052162
9,1000000,2422.867584
