Pomiar,LiczbaElementow,Czas
0,10,0.000002
1,10,0.000001
2,10,0.000000
3,10,0.000001
4,10,0.000001
5,10,0.000000
6,10,0.000001
7,10,0.000000
8,10,0.000001
9,10,0.000000
0,1000,0.000030
1,1000,0.000025
2,1000,0.000025
3,1000,0.000025
4,1000,0.000024
5,1000,0.000024
6,1000,0.000025
7,1000,0.000025
8,1000,0.000025
9,1000,0.000024
0,100000,0.003008
1,100000,0.002847
2,100000,0.002777
3,100000,0.002955
4,100000,0.002926
5,100000,0.002916
6,100000,0.002912
7,100000,0.002795
8,100000,0.002903
9,100000,0.002924
0,1000000,0.028141
1,1000000,0.027548
2,1000000,0.027393
3,1000000,0.027454
4,1000000,0.028149
5,1000000,0.027406
6,1000000,0.027424
7,1000000,0.027518
8,1000000,0.027468
9,1000000,0.027536
0,100000000,3.190479
1,100000000,3.190065
2,100000000,3.189783
3,100000000,3.193684
4,100000000,3.187947
5,100000000,3.247760
6,100000000,3.205158
7,100000000,3.191543
8,100000000,3.189923
9,100000000,3.193211
