Pomiar,LiczbaElementow,Czas
0,10,0.000001
1,10,0.000001
2,10,0.000001
3,10,0.000001
4,10,0.000001
5,10,0.000001
6,10,0.000001
7,10,0.000001
8,10,0.000001
9,10,0.000001
0,1000,0.000022
1,1000,0.000020
2,1000,0.000020
3,1000,0.000020
4,1000,0.000020
5,1000,0.000020
6,1000,0.000019
7,1000,0.000019
8,1000,0.000020
9,1000,0.000019
0,100000,0.002063
1,100000,0.002216
2,100000,0.002435
3,100000,0.002499
4,100000,0.002931
5,100000,0.001905
6,100000,0.001928
7,100000,0.001903
8,100000,0.001890
9,100000,0.001855
0,1000000,0.020385
1,1000000,0.019799
2,1000000,0.018876
3,1000000,0.018881
4,1000000,0.018663
5,1000000,0.019374
6,1000000,0.018865
7,1000000,0.018815
8,1000000,0.018787
9,1000000,0.019074
0,100000000,2.111104
1,100000000,2.108222
2,100000000,2.161450
3,100000000,2.207648
4,100000000,2.112364
5,100000000,2.112285
6,100000000,2.113437
7,100000000,2.111247
8,100000000,2.109673
9,100000000,2.110751
