Pomiar,LiczbaElementow,Czas
0,10,0.000002
1,10,0.000001
2,10,0.000001
3,10,0.000001
4,10,0.000001
5,10,0.000001
6,10,0.000001
7,10,0.000001
8,10,0.000001
9,10,0.000001
0,1000,0.000001
1,1000,0.000002
2,1000,0.000028
3,1000,0.000001
4,1000,0.000030
5,1000,0.000037
6,1000,0.000019
7,1000,0.000005
8,1000,0.000001
9,1000,0.000019
0,10000,0.000039
1,10000,0.000019
2,10000,0.000005
3,10000,0.000012
4,10000,0.000266
5,10000,0.000001
6,10000,0.000113
7,10000,0.000005
8,10000,0.000091
9,10000,0.000139
0,100000,0.000002
1,100000,0.000156
2,100000,0.000011
3,100000,0.000652
4,100000,0.001051
5,100000,0.000732
6,100000,0.000602
7,100000,0.000155
8,100000,0.000014
9,100000,0.003074
0,1000000,0.007113
1,1000000,0.015763
2,1000000,0.000014
3,1000000,0.003538
4,1000000,0.000031
5,1000000,0.000007
6,1000000,0.000005
7,1000000,0.000015
8,1000000,0.000018
9,1000000,0.000524
